Вар.№1	Вар.№2	Вар.№3	Вар.№4	Вар.№5	Вар.№6	Вар.№7	Вар.№8	Вар.№9	Вар.№10	Вар.№11	Вар.№12
.316	.880	2.614	.271	.741	-1.081	.412	1.043	4.301	.052	7.688	2.488
.457	.210	4.803	.273	.962	-1.705	.834	5.273	5.387	.240	7.429	10.406
.480	.831	.447	.644	.679	2.264	.249	23.868	6.205	.407	10.533	7.034
.585	.635	1.169	.448	.705	2.256	.537	-6.431	4.263	.486	6.812	6.158
.388	.416	3.912	.358	.561	-2.176	.744	-.076	4.013	.403	11.660	4.207
.196	.660	1.759	.574	.582	-.603	.368	1.860	3.081	.443	7.508	4.632
.145	.652	3.428	.088	.769	.161	.431	1.967	4.673	.531	7.803	5.690
.605	.749	2.987	.472	.647	-1.546	.635	5.239	5.183	.080	-.504	4.266
.334	.819	10.905	.277	.765	2.010	.531	-1.384	5.507	.197	6.274	5.292
.459	.737	2.433	.360	.653	1.202	.430	-1.200	3.374	.123	.840	9.501
.842	.610	4.996	.557	.655	-2.800	.844	3.204	4.625	.437	.671	6.550
.207	.865	2.456	.197	.712	5.824	.884	.122	2.953	.107	4.024	6.592
.224	.936	7.340	.359	.688	1.740	.474	1.795	5.483	.255	2.103	5.164
.154	.844	1.325	.626	.310	-.939	.593	6.394	4.298	.289	11.833	2.287
.337	.658	3.832	.180	.949	-.837	.323	-1.547	4.396	.498	.242	8.455
.843	.503	-3.541	.267	.637	1.468	.652	6.805	5.960	.087	-2.625	6.927
.472	.434	3.648	.599	.630	6.845	.264	-6.272	6.725	.292	4.333	3.372
.578	.889	.742	.586	.835	2.486	.450	.692	5.019	.248	7.918	5.955
.601	.668	1.286	.123	.659	-.308	.771	1.967	3.233	.067	2.554	-.477
.411	.838	3.320	.151	.817	2.947	.673	1.748	6.991	.155	-.578	6.248
.182	.332	1.599	.465	.706	1.584	.730	6.260	4.873	.506	-1.067	1.747
.721	.543	4.818	.606	.511	-.251	.461	1.200	2.415	.187	11.432	3.409
.571	.425	-4.947	.318	.526	-1.994	.448	-8.416	6.397	.441	8.920	5.331
.267	.593	4.128	.450	.266	2.289	.594	7.571	4.011	.696	-1.963	2.128
.751	.428	-3.251	.543	.699	2.152	.336	2.428	6.495	.141	13.136	4.474
.322	.633	-1.177	.142	.966	.018	.252	4.022	6.030	.183	1.351	5.076
.217	.479	-1.210	.547	.678	1.217	.735	17.638	5.125	.273	1.615	7.291
.512	.477	.959	.369	.364	-2.024	.389	5.994	5.287	.162	-.359	1.712
.505	.593	6.865	.481	.823	2.021	.382	8.886	4.122	.171	2.463	7.347
.562	.711	.314	.515	.965	-3.607	.778	4.459	4.227	.469	.018	4.791
.636	.639	5.341	.387	.529	-.672	.644	3.876	4.509	.346	5.096	4.662
.142	.398	-1.884	.506	.550	6.967	.714	-3.319	4.591	.364	-.543	7.039
.146	.277	5.486	.191	.712	2.614	.500	-4.241	5.688	.402	-1.220	4.649
.593	.402	-3.754	.396	.649	-2.128	.450	-7.619	5.536	.201	-9.793	5.282
.645	.371	-.934	.706	.728	3.432	.541	-10.254	6.001	.122	-1.751	2.089
.254	.729	.078	.267	.705	-.707	.469	1.289	4.083	.208	8.630	6.417
.350	.377	5.664	.502	.705	3.993	.676	15.471	5.322	.641	-.306	4.442
.428	.492	5.389	.318	.808	-.806	.359	5.536	2.115	.498	1.432	6.087
.320	.245	.950	.565	.734	1.075	.533	7.906	4.903	.240	5.183	4.199
.310	.579	4.802	.334	.632	1.971	.315	21.662	4.255	.236	7.923	10.546
.367	.588	-1.079	.247	.426	.613	.530	-6.048	5.597	.631	2.793	10.157
.636	.825	3.055	.332	.781	4.192	.839	12.770	4.393	.138	3.366	5.293
.658	.686	8.680	.371	.774	.986	.187	13.399	6.645	.209	-.707	6.626
.675	.733	6.764	.315	.687	.318	.287	3.475	5.654	.471	7.051	8.755
.827	.655	3.274	.695	.537	-.919	.384	3.751	1.534	.269	-3.519	6.734
.319	.399	3.889	.268	.908	2.702	.530	3.161	6.370	.380	-3.644	6.009
.556	.824	-1.369	.400	.902	.679	.327	5.969	3.684	.316	-1.800	6.654
.381	.344	-2.680	.230	.767	3.030	.335	-3.692	3.689	.189	5.951	6.529
.121	.555	2.141	.372	.410	.420	.563	-13.592	5.493	.286	4.134	6.615
.572	.604	1.326	.294	.371	.404	.630	3.734	5.306	.275	-4.526	7.053
.315	.767	8.489	.592	.358	-1.610	.873	1.161	3.388	.191	.573	7.599
.529	.527	-1.121	.178	.818	2.302	.318	2.453	3.316	.309	2.282	5.659
.210	.609	11.658	.354	.653	2.721	.499	8.449	6.267	.090	9.104	9.125
.420	.803	2.574	.478	.391	1.743	.474	4.383	1.944	.490	8.791	6.237
.157	.651	3.121	.705	.614	7.242	.592	5.728	2.338	.261	-.252	5.388
